cluster,subcluster,primary_keyword,keyword_type,persona,journey_stage,search_intent,ideal_content_type,sample_title,notes
Practices & techniques,"Yoga, kriya, tantra, kundalini",is kriya yoga dangerous,question,Any,Suffering/problem‑solving,Informational,Pillar page + blog series,Is Kriya Yoga Dangerous – A Tradition‑Honest Guide for Western Practitioners,"Clarify safety, lineage, prerequisites, and how to discern authentic teachings from commodified versions."
Practices & techniques,"Yoga, kriya, tantra, kundalini",kundalini awakening symptoms,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Pillar page + blog series,Kundalini Awakening Symptoms – A Tradition‑Honest Guide for Western Practitioners,"Clarify safety, lineage, prerequisites, and how to discern authentic teachings from commodified versions."
Practices & techniques,"Yoga, kriya, tantra, kundalini",tantra for couples spiritual,long_tail,Midlife woman,Curious,Informational,Pillar page + blog series,Tantra For Couples Spiritual – A Tradition‑Honest Guide for Western Practitioners,"Clarify safety, lineage, prerequisites, and how to discern authentic teachings from commodified versions."
Practices & techniques,"Yoga, kriya, tantra, kundalini",yoga and meditation near me,core_long_tail,Any,Curious,Informational,Pillar page + blog series,Yoga And Meditation Near Me – A Tradition‑Honest Guide for Western Practitioners,"Clarify safety, lineage, prerequisites, and how to discern authentic teachings from commodified versions."
Practices & techniques,"Yoga, kriya, tantra, kundalini",yoga for anxiety,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Pillar page + blog series,Yoga For Anxiety – A Tradition‑Honest Guide for Western Practitioners,"Clarify safety, lineage, prerequisites, and how to discern authentic teachings from commodified versions."
Practices & techniques,"Yoga, kriya, tantra, kundalini",pranayama for nervous system,long_tail,Any,Suffering/problem‑solving,Informational,Pillar page + blog series,Pranayama For Nervous System – A Tradition‑Honest Guide for Western Practitioners,"Clarify safety, lineage, prerequisites, and how to discern authentic teachings from commodified versions."
Gurus & lineages,Teacher profiles,Sadhguru,brand,Any,Exploring teachers,Informational / Navigational,Pillar profile + comparison blog,"Sadhguru – Biography, Teachings, and How They Relate to Indian Traditions","Neutral, lineage‑aware overview plus how to engage safely and what kind of seeker each resonates with."
Gurus & lineages,Teacher profiles,Sri Sri Ravi Shankar,brand,Any,Exploring teachers,Informational / Navigational,Pillar profile + comparison blog,"Sri Sri Ravi Shankar – Biography, Teachings, and How They Relate to Indian Traditions","Neutral, lineage‑aware overview plus how to engage safely and what kind of seeker each resonates with."
Gurus & lineages,Teacher profiles,Mata Amritanandamayi Amma,brand,Any,Exploring teachers,Informational / Navigational,Pillar profile + comparison blog,"Mata Amritanandamayi Amma – Biography, Teachings, and How They Relate to Indian Traditions","Neutral, lineage‑aware overview plus how to engage safely and what kind of seeker each resonates with."
Gurus & lineages,Teacher profiles,Paramahansa Yogananda,brand,Any,Exploring teachers,Informational / Navigational,Pillar profile + comparison blog,"Paramahansa Yogananda – Biography, Teachings, and How They Relate to Indian Traditions","Neutral, lineage‑aware overview plus how to engage safely and what kind of seeker each resonates with."
Gurus & lineages,Teacher profiles,Ramana Maharshi,brand,Any,Exploring teachers,Informational / Navigational,Pillar profile + comparison blog,"Ramana Maharshi – Biography, Teachings, and How They Relate to Indian Traditions","Neutral, lineage‑aware overview plus how to engage safely and what kind of seeker each resonates with."
Gurus & lineages,Teacher profiles,Swami Vivekananda,brand,Any,Exploring teachers,Informational / Navigational,Pillar profile + comparison blog,"Swami Vivekananda – Biography, Teachings, and How They Relate to Indian Traditions","Neutral, lineage‑aware overview plus how to engage safely and what kind of seeker each resonates with."
Gurus & lineages,Teacher profiles,Mooji teacher,brand,Any,Exploring teachers,Informational / Navigational,Pillar profile + comparison blog,"Mooji teacher – Biography, Teachings, and How They Relate to Indian Traditions","Neutral, lineage‑aware overview plus how to engage safely and what kind of seeker each resonates with."
Gurus & lineages,Teacher profiles,Eckhart Tolle and Advaita,brand,Any,Exploring teachers,Informational / Navigational,Pillar profile + comparison blog,"Eckhart Tolle and Advaita – Biography, Teachings, and How They Relate to Indian Traditions","Neutral, lineage‑aware overview plus how to engage safely and what kind of seeker each resonates with."
Gurus & lineages,Discernment & safety,is Sadhguru a cult,question,Any,Exploring teachers,Commercial investigation / Informational,Blog + newsletter,Is Sadhguru A Cult – A Sanatan Perspective on Discernment,"Answer hard questions honestly; explain guru‑shishya tradition, healthy skepticism, and due diligence."
Gurus & lineages,Discernment & safety,is Isha Foundation legit,question,Any,Exploring teachers,Commercial investigation / Informational,Blog + newsletter,Is Isha Foundation Legit – A Sanatan Perspective on Discernment,"Answer hard questions honestly; explain guru‑shishya tradition, healthy skepticism, and due diligence."
Gurus & lineages,Discernment & safety,problems with Indian gurus,question,Any,Exploring teachers,Commercial investigation / Informational,Blog + newsletter,Problems With Indian Gurus – A Sanatan Perspective on Discernment,"Answer hard questions honestly; explain guru‑shishya tradition, healthy skepticism, and due diligence."
Gurus & lineages,Discernment & safety,how to choose a spiritual teacher,question,Any,Exploring teachers,Commercial investigation / Informational,Blog + newsletter,How To Choose A Spiritual Teacher – A Sanatan Perspective on Discernment,"Answer hard questions honestly; explain guru‑shishya tradition, healthy skepticism, and due diligence."
Gurus & lineages,Discernment & safety,red flags in spiritual communities,question,Any,Exploring teachers,Commercial investigation / Informational,Blog + newsletter,Red Flags In Spiritual Communities – A Sanatan Perspective on Discernment,"Answer hard questions honestly; explain guru‑shishya tradition, healthy skepticism, and due diligence."
Spiritual tourism & retreats,India travel planning,yoga retreat Rishikesh,long_tail,Any,Exploring India / retreats,Commercial investigation,Travel pillar + comparison blog + YouTube vlog,Yoga Retreat Rishikesh – Practical Guide for Western Spiritual Travelers,"Blend logistics (cost, seasons, safety) with spiritual context, etiquette, and realistic expectations."
Spiritual tourism & retreats,India travel planning,meditation retreat India,long_tail,Any,Exploring India / retreats,Commercial investigation,Travel pillar + comparison blog + YouTube vlog,Meditation Retreat India – Practical Guide for Western Spiritual Travelers,"Blend logistics (cost, seasons, safety) with spiritual context, etiquette, and realistic expectations."
Spiritual tourism & retreats,India travel planning,Ayurvedic retreat Kerala,long_tail,Any,Exploring India / retreats,Commercial investigation,Travel pillar + comparison blog + YouTube vlog,Ayurvedic Retreat Kerala – Practical Guide for Western Spiritual Travelers,"Blend logistics (cost, seasons, safety) with spiritual context, etiquette, and realistic expectations."
Spiritual tourism & retreats,India travel planning,spiritual tour Varanasi,long_tail,Any,Exploring India / retreats,Commercial investigation,Travel pillar + comparison blog + YouTube vlog,Spiritual Tour Varanasi – Practical Guide for Western Spiritual Travelers,"Blend logistics (cost, seasons, safety) with spiritual context, etiquette, and realistic expectations."
Spiritual tourism & retreats,India travel planning,Kailasa temple Ellora history,long_tail,Any,Exploring India / retreats,Informational,Travel pillar + comparison blog + YouTube vlog,Kailasa Temple Ellora History – Practical Guide for Western Spiritual Travelers,"Blend logistics (cost, seasons, safety) with spiritual context, etiquette, and realistic expectations."
Spiritual tourism & retreats,India travel planning,Kailasa temple Ellora mystery,long_tail,Any,Exploring India / retreats,Informational,Travel pillar + comparison blog + YouTube vlog,Kailasa Temple Ellora Mystery – Practical Guide for Western Spiritual Travelers,"Blend logistics (cost, seasons, safety) with spiritual context, etiquette, and realistic expectations."
Spiritual tourism & retreats,India travel planning,best ashrams in Rishikesh for beginners,long_tail,Any,Exploring India / retreats,Commercial investigation,Travel pillar + comparison blog + YouTube vlog,Best Ashrams In Rishikesh For Beginners – Practical Guide for Western Spiritual Travelers,"Blend logistics (cost, seasons, safety) with spiritual context, etiquette, and realistic expectations."
Spiritual tourism & retreats,India travel planning,how to choose an ashram in India,long_tail,Any,Exploring India / retreats,Informational,Travel pillar + comparison blog + YouTube vlog,How To Choose An Ashram In India – Practical Guide for Western Spiritual Travelers,"Blend logistics (cost, seasons, safety) with spiritual context, etiquette, and realistic expectations."
Courses & long‑term learning,Online and hybrid learning,online Vedanta course,long_tail,Any,Serious practitioner,Transactional / Commercial investigation,Course landing page + email sequence,"Online Vedanta Course – Syllabus, Lineage, and Who It Is For","Clarify prerequisites, lineage backing, expected outcomes, and how it integrates with daily Western life."
Courses & long‑term learning,Online and hybrid learning,Bhagavad Gita course online,long_tail,Any,Serious practitioner,Transactional / Commercial investigation,Course landing page + email sequence,"Bhagavad Gita Course Online – Syllabus, Lineage, and Who It Is For","Clarify prerequisites, lineage backing, expected outcomes, and how it integrates with daily Western life."
Courses & long‑term learning,Online and hybrid learning,yoga philosophy course online,long_tail,Any,Serious practitioner,Transactional / Commercial investigation,Course landing page + email sequence,"Yoga Philosophy Course Online – Syllabus, Lineage, and Who It Is For","Clarify prerequisites, lineage backing, expected outcomes, and how it integrates with daily Western life."
Courses & long‑term learning,Online and hybrid learning,kriya yoga course online,long_tail,Male seeker,Serious practitioner,Transactional / Commercial investigation,Course landing page + email sequence,"Kriya Yoga Course Online – Syllabus, Lineage, and Who It Is For","Clarify prerequisites, lineage backing, expected outcomes, and how it integrates with daily Western life."
Courses & long‑term learning,Online and hybrid learning,tantra course online for couples,long_tail,Midlife woman,Serious practitioner,Transactional / Commercial investigation,Course landing page + email sequence,"Tantra Course Online For Couples – Syllabus, Lineage, and Who It Is For","Clarify prerequisites, lineage backing, expected outcomes, and how it integrates with daily Western life."
Courses & long‑term learning,Online and hybrid learning,Indian spirituality course for beginners,long_tail,Midlife woman,Serious practitioner,Transactional / Commercial investigation,Course landing page + email sequence,"Indian Spirituality Course For Beginners – Syllabus, Lineage, and Who It Is For","Clarify prerequisites, lineage backing, expected outcomes, and how it integrates with daily Western life."
Courses & long‑term learning,Online and hybrid learning,learn Sanskrit for chanting online,long_tail,Any,Serious practitioner,Transactional / Commercial investigation,Course landing page + email sequence,"Learn Sanskrit For Chanting Online – Syllabus, Lineage, and Who It Is For","Clarify prerequisites, lineage backing, expected outcomes, and how it integrates with daily Western life."
Courses & long‑term learning,Online and hybrid learning,Vedic meditation teacher training India,long_tail,Any,Serious practitioner,Transactional / Commercial investigation,Course landing page + email sequence,"Vedic Meditation Teacher Training India – Syllabus, Lineage, and Who It Is For","Clarify prerequisites, lineage backing, expected outcomes, and how it integrates with daily Western life."
Life problems & meaning,Psychology–spirituality bridge,spiritual awakening and mental health,question,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter series,Spiritual Awakening And Mental Health – An Indian Spiritual View and Practical Next Steps,"Map Western therapy language to Indian frameworks (gunas, karma, bhakti, jnana) with grounded suggestions."
Life problems & meaning,Psychology–spirituality bridge,spiritual meaning of burnout,question,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter series,Spiritual Meaning Of Burnout – An Indian Spiritual View and Practical Next Steps,"Map Western therapy language to Indian frameworks (gunas, karma, bhakti, jnana) with grounded suggestions."
Life problems & meaning,Psychology–spirituality bridge,midlife crisis spiritual perspective,question,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter series,Midlife Crisis Spiritual Perspective – An Indian Spiritual View and Practical Next Steps,"Map Western therapy language to Indian frameworks (gunas, karma, bhakti, jnana) with grounded suggestions."
Life problems & meaning,Psychology–spirituality bridge,how to find my dharma,question,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter series,How To Find My Dharma – An Indian Spiritual View and Practical Next Steps,"Map Western therapy language to Indian frameworks (gunas, karma, bhakti, jnana) with grounded suggestions."
Life problems & meaning,Psychology–spirituality bridge,why do I feel empty in a successful life,question,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter series,Why Do I Feel Empty In A Successful Life – An Indian Spiritual View and Practical Next Steps,"Map Western therapy language to Indian frameworks (gunas, karma, bhakti, jnana) with grounded suggestions."
Life problems & meaning,Psychology–spirituality bridge,is spirituality the answer to my anxiety,question,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter series,Is Spirituality The Answer To My Anxiety – An Indian Spiritual View and Practical Next Steps,"Map Western therapy language to Indian frameworks (gunas, karma, bhakti, jnana) with grounded suggestions."
Life problems & meaning,Psychology–spirituality bridge,how to integrate spirituality with career,question,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter series,How To Integrate Spirituality With Career – An Indian Spiritual View and Practical Next Steps,"Map Western therapy language to Indian frameworks (gunas, karma, bhakti, jnana) with grounded suggestions."
Life problems & meaning,Psychology–spirituality bridge,can meditation replace therapy,question,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter series,Can Meditation Replace Therapy – An Indian Spiritual View and Practical Next Steps,"Map Western therapy language to Indian frameworks (gunas, karma, bhakti, jnana) with grounded suggestions."
